,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,AMERIBOR,T10YIE,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP
30,2/14/2019,-0.21,0.52,-0.58,0.41,-0.18,0.01,-0.629185,2745.73,2.55217,1.85,1.74,4.17,6.69,2.66,2.53,2.52,2.48,,54.4,2.61,0,0,0
31,2/15/2019,1.13,0.38,0.47,-0.21,0.01,0.01,-0.62764,2775.6,2.5545,1.86,1.75,4.12,6.65,2.66,2.55,2.46,2.48,2.41,55.58,2.59,0,0,0
32,2/19/2019,0.19,0.32,0.3,0.02,0.22,0.01,-0.614212,2779.76,2.55706,1.87,1.76,4.11,6.62,2.65,2.54,2.52,2.5,,56.12,2.69,0,0,0
33,2/20/2019,0.19,0.29,0.55,0.01,-0.27,0.01,-0.607294,2784.7,2.55416,1.89,1.79,4.08,6.59,2.65,2.54,2.46,,2.42,56.9,2.69,0,0,0
34,2/21/2019,-0.37,-0.04,-0.22,0.57,0.13,0.01,-0.598832,2774.88,2.54981,1.91,1.8,4.04,6.59,2.69,2.55,2.48,2.49,2.45,56.95,2.73,0,0,0
35,2/22/2019,0.65,0.38,-1.47,0.29,-0.61,0.01,-0.588823,2792.67,2.55353,1.91,1.82,4.05,6.56,2.65,2.55,2.51,2.49,2.41,57.01,2.74,0,0,0
36,2/25/2019,0.15,-0.28,-0.18,-0.86,-0.51,0.01,-0.550003,2796.11,2.55117,1.92,1.82,4,6.53,2.67,2.56,2.44,2.48,,55.32,2.84,0,0,0
37,2/26/2019,-0.16,-0.68,-0.33,0.09,-0.15,0.01,-0.534812,2793.9,2.55457,1.92,1.82,4.01,6.5,2.64,2.55,2.43,2.49,,55.4,2.74,0,0,0
38,2/27/2019,0.09,0.15,-0.12,-0.68,-0.07,0.01,-0.518575,2792.38,2.55516,1.93,1.84,3.94,6.48,2.69,2.54,2.45,2.5,2.41,56.92,2.89,0,0,0
39,2/28/2019,-0.31,-0.02,-0.24,0.28,0.16,0.01,-0.501285,2784.49,2.55115,1.95,1.84,3.92,6.49,2.73,2.54,2.58,2.5,,57.21,2.89,0,0,0
40,3/1/2019,0.72,0.25,-0.41,-0.36,-0.18,0.009,-0.482939,2803.69,2.54419,1.96,1.85,3.86,6.48,2.76,2.55,2.6,2.5,2.4,55.76,3.19,0,0,0
41,3/4/2019,-0.52,-0.39,0.38,0.15,-0.08,0.009,-0.4355,2792.81,2.54563,1.94,1.84,3.9,6.49,2.72,2.54,2.49,2.47,2.41,56.6,4.25,0,0,0
42,3/5/2019,-0.17,-0.32,-0.23,0.28,0,0.009,-0.421947,2789.65,2.5496,1.93,1.83,3.91,6.51,2.72,2.54,2.49,2.49,2.39,56.55,3.18,0,0,0
43,3/6/2019,-0.84,-1.23,0.05,0.56,0.13,0.009,-0.409486,2771.45,2.53449,1.91,1.81,3.98,6.55,2.69,2.54,2.46,2.51,2.42,56.22,3.18,0,0,0
44,3/7/2019,-0.82,-0.05,-0.33,-0.38,0.13,0.009,-0.398112,2748.93,2.54981,1.9,1.8,4.1,6.61,2.64,2.52,2.49,2.47,2.44,56.6,2.9,0,0,0
45,3/8/2019,-0.22,0.06,-0.15,-0.11,-0.28,0.009,-0.387822,2743.07,2.53081,1.9,1.8,4.18,6.68,2.62,2.53,2.47,2.49,,55.77,2.9,0,0,0
46,3/11/2019,1.49,0.27,-0.52,-0.28,-0.47,0.009,-0.36382,2783.3,2.53811,1.91,1.82,4.12,6.64,2.64,2.53,2.49,2.48,,56.79,2.86,0,0,0
47,3/12/2019,0.25,-0.31,-0.08,-0.43,0.02,0.009,-0.358634,2791.52,2.52562,1.9,1.81,4.08,6.56,2.61,2.52,2.46,2.49,,56.89,2.83,0,0,0
48,3/13/2019,0.68,-0.32,0.07,-0.17,0.19,0.009,-0.354917,2810.92,2.4961,1.92,1.84,3.99,6.48,2.61,2.53,2.46,2.49,2.4,58.27,2.87,0,0,0
49,3/14/2019,-0.1,-0.38,0.3,-0.15,-0.1,0.009,-0.35267,2808.48,2.5189,1.94,1.85,3.95,6.45,2.63,2.52,2.41,2.48,2.42,58.59,2.95,0,0,0
50,3/15/2019,0.48,-0.24,-0.24,-0.04,-0.19,0.009,-0.351891,2822.48,2.51513,1.94,1.86,3.95,6.42,2.59,2.52,2.51,2.49,2.4,58.51,2.95,0,0,0
51,3/18/2019,0.46,0.23,0.44,-0.08,-0.07,0.009,-0.358104,2832.94,2.52498,1.96,1.88,3.95,6.43,2.6,2.52,2.52,2.48,,59.09,2.9,0,0,0
52,3/19/2019,-0.09,-0.47,-0.91,0.01,-0.05,0.009,-0.362678,2832.57,2.51939,1.95,1.85,3.91,6.4,2.61,2.5,2.5,2.51,,59.12,2.92,0,0,0
53,3/20/2019,-0.39,-0.23,-1.04,-0.21,-0.24,0.009,-0.368463,2824.23,2.51995,1.96,1.88,3.97,6.38,2.54,2.47,2.5,2.49,2.44,60.12,2.86,0,0,0
